"date","price"
28-Feb-19,25.15
1-Mar-19,25.20
4-Mar-19,25.25
5-Mar-19,25.20
6-Mar-19,25.12
7-Mar-19,25.15
8-Mar-19,25.20
11-Mar-19,25.25
12-Mar-19,25.15
13-Mar-19,25.30
14-Mar-19,25.40
15-Mar-19,25.45
18-Mar-19,25.55
19-Mar-19,25.55
20-Mar-19,25.65
21-Mar-19,25.57
22-Mar-19,25.55
25-Mar-19,25.55
26-Mar-19,25.55
27-Mar-19,25.60
28-Mar-19,25.60
29-Mar-19,25.67
1-Apr-19,25.70
2-Apr-19,25.75
3-Apr-19,25.70
4-Apr-19,25.65
5-Apr-19,25.62
8-Apr-19,25.63
9-Apr-19,25.65
10-Apr-19,25.65
11-Apr-19,25.62
12-Apr-19,25.62
15-Apr-19,25.62
16-Apr-19,25.60
17-Apr-19,25.65
18-Apr-19,25.65
23-Apr-19,25.65
24-Apr-19,25.62
26-Apr-19,25.65
29-Apr-19,25.65
30-Apr-19,25.65
1-May-19,25.60
2-May-19,25.55
3-May-19,25.50
6-May-19,25.35
7-May-19,25.45
8-May-19,25.50
9-May-19,25.65
10-May-19,25.55
13-May-19,25.55
14-May-19,25.45
15-May-19,25.45
16-May-19,25.45
17-May-19,25.45
20-May-19,25.37
21-May-19,25.10
22-May-19,25.15
23-May-19,25.15
24-May-19,25.10
27-May-19,25.07
28-May-19,25.07
29-May-19,25.05
30-May-19,25.02
31-May-19,24.85
4-Jun-19,24.50
5-Jun-19,24.50
6-Jun-19,24.55
7-Jun-19,24.20
10-Jun-19,24.30
11-Jun-19,24.30
12-Jun-19,24.15
13-Jun-19,23.70
17-Jun-19,23.15
18-Jun-19,23.25
19-Jun-19,23.20
20-Jun-19,23.50
21-Jun-19,23.62
24-Jun-19,23.65
25-Jun-19,22.50
26-Jun-19,23.00
27-Jun-19,22.90
28-Jun-19,23.10
1-Jul-19,23.15
2-Jul-19,23.07
3-Jul-19,23.07
4-Jul-19,23.10
5-Jul-19,23.05
8-Jul-19,22.95
9-Jul-19,22.87
10-Jul-19,23.00
11-Jul-19,23.10
12-Jul-19,23.05
15-Jul-19,22.90
16-Jul-19,22.95
17-Jul-19,23.00
18-Jul-19,23.10
19-Jul-19,23.22
22-Jul-19,23.10
23-Jul-19,23.10
24-Jul-19,23.07
25-Jul-19,23.10
26-Jul-19,23.15
29-Jul-19,23.30
30-Jul-19,23.50
31-Jul-19,23.60
1-Aug-19,23.85
2-Aug-19,23.72
5-Aug-19,23.90
6-Aug-19,23.70
7-Aug-19,23.65
8-Aug-19,23.70
9-Aug-19,23.90
12-Aug-19,24.15
13-Aug-19,24.35
14-Aug-19,24.35
15-Aug-19,24.35
16-Aug-19,24.30
19-Aug-19,24.30
20-Aug-19,24.35
21-Aug-19,24.30
22-Aug-19,24.25
23-Aug-19,24.40
26-Aug-19,24.60
27-Aug-19,24.60
28-Aug-19,24.70
29-Aug-19,24.62
30-Aug-19,24.75
2-Sep-19,24.85
3-Sep-19,24.88
4-Sep-19,25.00
5-Sep-19,25.05
6-Sep-19,25.07
9-Sep-19,25.05
10-Sep-19,25.00
11-Sep-19,24.90
12-Sep-19,24.85
13-Sep-19,24.82
16-Sep-19,24.80
17-Sep-19,24.75
18-Sep-19,24.75
19-Sep-19,24.85
20-Sep-19,25.00
23-Sep-19,24.97
24-Sep-19,24.95
25-Sep-19,24.95
26-Sep-19,24.85
27-Sep-19,24.85
30-Sep-19,24.85
1-Oct-19,24.85
2-Oct-19,24.87
3-Oct-19,24.80
4-Oct-19,24.80
7-Oct-19,24.80
8-Oct-19,24.75
9-Oct-19,24.75
10-Oct-19,24.75
11-Oct-19,24.70
14-Oct-19,24.75
15-Oct-19,24.75
16-Oct-19,24.80
17-Oct-19,24.80
18-Oct-19,24.80
21-Oct-19,24.80
22-Oct-19,24.80
23-Oct-19,24.87
24-Oct-19,24.82
25-Oct-19,24.95
29-Oct-19,24.95
30-Oct-19,25.00
31-Oct-19,24.95
1-Nov-19,24.97
4-Nov-19,24.95
5-Nov-19,24.95
6-Nov-19,24.95
7-Nov-19,24.97
8-Nov-19,24.97
11-Nov-19,24.95
12-Nov-19,25.00
13-Nov-19,24.95
14-Nov-19,24.95
15-Nov-19,24.90
18-Nov-19,24.92
19-Nov-19,24.90
20-Nov-19,24.92
21-Nov-19,24.80
22-Nov-19,24.80
25-Nov-19,24.80
26-Nov-19,24.75
27-Nov-19,24.72
28-Nov-19,24.72
29-Nov-19,24.65
2-Dec-19,24.70
3-Dec-19,24.72
4-Dec-19,24.70
5-Dec-19,24.67
6-Dec-19,24.67
9-Dec-19,24.65
10-Dec-19,24.67
11-Dec-19,24.75
12-Dec-19,24.75
13-Dec-19,24.75
17-Dec-19,24.75
19-Dec-19,24.75
6-Jan-20,28.50
7-Jan-20,28.50
8-Jan-20,28.85
9-Jan-20,28.90
10-Jan-20,28.90
13-Jan-20,28.90
14-Jan-20,28.93
15-Jan-20,29.00
16-Jan-20,29.08
17-Jan-20,29.15
21-Jan-20,29.20
22-Jan-20,29.20
23-Jan-20,29.15
24-Jan-20,29.15
29-Jan-20,28.95
30-Jan-20,28.75
31-Jan-20,28.30
3-Feb-20,27.55
4-Feb-20,27.55
5-Feb-20,27.70
7-Feb-20,27.75
10-Feb-20,27.80
11-Feb-20,27.50
12-Feb-20,27.00
13-Feb-20,26.60
14-Feb-20,26.55
17-Feb-20,26.30
18-Feb-20,26.31
19-Feb-20,26.50
20-Feb-20,26.50
21-Feb-20,26.70
24-Feb-20,26.75
25-Feb-20,26.40
26-Feb-20,26.50
2-Jul-20,32.25
3-Jul-20,32.25
18-Aug-20,33.90
19-Aug-20,33.90
20-Aug-20,33.85
21-Aug-20,33.80
24-Aug-20,33.85
25-Aug-20,33.88
26-Aug-20,34.04
28-Aug-20,34.05
31-Aug-20,34.10
1-Sep-20,34.12
2-Sep-20,34
3-Sep-20,34
4-Sep-20,34
7-Sep-20,34
8-Sep-20,34
9-Sep-20,34
10-Sep-20,34.25
11-Sep-20,34.25
14-Sep-20,34.30
15-Sep-20,34.50
16-Sep-20,35
18-Sep-20,34.05
21-Sep-20,35.05
22-Sep-20,35.07
23-Sep-20,35.05
