date,headline,url
2012-09-28,The case for UN offsets,https://www.carbonnews.co.nz/story.asp?storyID=6368
2012-10-05,"NZUs ignored, says trader",https://www.carbonnews.co.nz/story.asp?storyID=6385
2012-10-19,A case of too many CERs,https://www.carbonnews.co.nz/story.asp?storyID=6405
2012-11-16,Carbon hits the windshield,https://www.carbonnews.co.nz/story.asp?storyID=6471
2012-11-30,EUAs take a dive ... again,https://www.carbonnews.co.nz/story.asp?storyID=6501
2013-01-18,European prices remain low,https://www.carbonnews.co.nz/story.asp?storyID=6558
2013-01-25,Market plunge gets the tongues wagging,https://www.carbonnews.co.nz/story.asp?storyID=6572
2013-02-01,It's not all bad news from Europe,https://www.carbonnews.co.nz/story.asp?storyID=6583
2013-02-08,EU party move leaves market in limbo,https://www.carbonnews.co.nz/story.asp?storyID=6608
2013-02-15,Carbon thumped overnight,https://www.carbonnews.co.nz/story.asp?storyID=6624
2013-03-01,Sell ... and put your money in the bank,https://www.carbonnews.co.nz/story.asp?storyID=6647
2013-03-08,European market firms slightly,https://www.carbonnews.co.nz/story.asp?storyID=6664
2013-03-15,Price steady after overnight spike,https://www.carbonnews.co.nz/story.asp?storyID=6672
2013-03-22,Europe vote edges closer,https://www.carbonnews.co.nz/story.asp?storyID=6690
2013-04-05,Why you should dump Green CERs,https://www.carbonnews.co.nz/story.asp?storyID=6717
2013-04-19,Utilities buy ailing European carbon,https://www.carbonnews.co.nz/story.asp?storyID=6742
2013-05-10,Take the cash ... it's free,https://www.carbonnews.co.nz/story.asp?storyID=6777
2013-05-17,Carbon markets must get ready to grow,https://www.carbonnews.co.nz/story.asp?storyID=6797
2013-05-24,NZUs at $2 good to collect,https://www.carbonnews.co.nz/story.asp?storyID=6811
2013-06-07,Carbon prices continue Europe rally,https://www.carbonnews.co.nz/story.asp?storyID=6840
2013-06-21,Europe traders take another look,https://www.carbonnews.co.nz/story.asp?storyID=6868
2013-06-28,Bull trend in NZUs?,https://www.carbonnews.co.nz/story.asp?storyID=6971
2013-06-28,EUAs behave as backloading looms,https://www.carbonnews.co.nz/story.asp?storyID=6882
2013-07-05,Wild swings as EU votes for backloading,https://www.carbonnews.co.nz/story.asp?storyID=6902
2013-07-12,Light trading in EUAs,https://www.carbonnews.co.nz/story.asp?storyID=6917
2013-07-26,European carbon extends gains,https://www.carbonnews.co.nz/story.asp?storyID=6935
2013-08-02,"Supply down, prices up",https://www.carbonnews.co.nz/story.asp?storyID=6956
2013-08-09,Support grows for restrictions,https://www.carbonnews.co.nz/story.asp?storyID=6970
2013-08-15,NZ market firm,https://www.carbonnews.co.nz/story.asp?storyID=6993
2013-08-16,"Low volumes, but market buoyant",https://www.carbonnews.co.nz/story.asp?storyID=6994
2013-08-22,NZUs over $3,https://www.carbonnews.co.nz/story.asp?storyID=7015
2013-08-23,Prices firming in Europe,https://www.carbonnews.co.nz/story.asp?storyID=7018
2013-08-30,Spot NZUs hold and forward curve tightens,https://www.carbonnews.co.nz/story.asp?storyID=7036
2013-09-06,NZUs higher in light trading,https://www.carbonnews.co.nz/story.asp?storyID=7063
2013-09-13,Market heads higher,https://www.carbonnews.co.nz/story.asp?storyID=7071
2013-09-20,NZUs on a high,https://www.carbonnews.co.nz/story.asp?storyID=7089
2013-09-25,Buy the dips,https://www.carbonnews.co.nz/story.asp?storyID=7096
2013-09-25,Quiet day for market,https://www.carbonnews.co.nz/story.asp?storyID=7095
2013-09-27,Market watches and waits,https://www.carbonnews.co.nz/story.asp?storyID=7107
2013-09-30,Small action in the market,https://www.carbonnews.co.nz/story.asp?storyID=7111
2013-10-01,Lack of motivation on domestic market,https://www.carbonnews.co.nz/story.asp?storyID=7112
2013-10-02,Market down on light volume,https://www.carbonnews.co.nz/story.asp?storyID=7113
2013-10-03,Europe shows where we're heading,https://www.carbonnews.co.nz/story.asp?storyID=7115
2013-10-04,NZUs sell in the low $4 range,https://www.carbonnews.co.nz/story.asp?storyID=7121
2013-10-07,Still a good time to buy,https://www.carbonnews.co.nz/story.asp?storyID=7128
2013-10-08,Chance to buy 'decent' volumes of NZUs,https://www.carbonnews.co.nz/story.asp?storyID=7129
2013-10-09,Flow of credits from small sellers,https://www.carbonnews.co.nz/story.asp?storyID=7130
2013-10-10,Switching where the action is,https://www.carbonnews.co.nz/story.asp?storyID=7137
2013-10-11,Why the Government might not auction units,https://www.carbonnews.co.nz/story.asp?storyID=7150
2013-10-14,Large sellers absent from market,https://www.carbonnews.co.nz/story.asp?storyID=7151
2013-10-15,Spot NZUs get active,https://www.carbonnews.co.nz/story.asp?storyID=7152
2013-10-16,Buyers ambivilent about NZUs,https://www.carbonnews.co.nz/story.asp?storyID=7153
2013-10-17,Rally continues at home and abroad,https://www.carbonnews.co.nz/story.asp?storyID=7157
2013-10-18,Back below $4,https://www.carbonnews.co.nz/story.asp?storyID=7167
2013-10-21,Don't sit back and wait for auction...,https://www.carbonnews.co.nz/story.asp?storyID=7168
2013-10-22,Cheap at these levels,https://www.carbonnews.co.nz/story.asp?storyID=7170
2013-10-24,Market quiet now below $4,https://www.carbonnews.co.nz/story.asp?storyID=7172
2013-10-25,"Yes, Minister, prices will rise....",https://www.carbonnews.co.nz/story.asp?storyID=7183
2013-10-29,Expect prices to grind this week,https://www.carbonnews.co.nz/story.asp?storyID=7190
2013-10-30,Post-1989-ers leading the charge,https://www.carbonnews.co.nz/story.asp?storyID=7192
2013-11-01,Pre-1990 forest owners back in the market for NZUs,https://www.carbonnews.co.nz/story.asp?storyID=7201
2013-11-05,Choppy market in Europe,https://www.carbonnews.co.nz/story.asp?storyID=7208
2013-11-06,No report today,https://www.carbonnews.co.nz/story.asp?storyID=7209
2013-11-07,Market continues to decline,https://www.carbonnews.co.nz/story.asp?storyID=7216
2013-11-08,Market needs to get a move on,https://www.carbonnews.co.nz/story.asp?storyID=7225
2013-11-11,Hope from Europe,https://www.carbonnews.co.nz/story.asp?storyID=7226
2013-11-12,Stand-off in NZU market,https://www.carbonnews.co.nz/story.asp?storyID=7228
2013-11-13,"Buy, bank, and hold....",https://www.carbonnews.co.nz/story.asp?storyID=7230
2013-11-15,Buyers get interested,https://www.carbonnews.co.nz/story.asp?storyID=7250
2013-11-18,Good market interest,https://www.carbonnews.co.nz/story.asp?storyID=7251
2013-11-19,Market quiet and consolidating,https://www.carbonnews.co.nz/story.asp?storyID=7261
2013-11-20,Flurry on NZ market,https://www.carbonnews.co.nz/story.asp?storyID=7259
2013-11-21,NZUs starting to move up again,https://www.carbonnews.co.nz/story.asp?storyID=7266
2013-11-22,NZUs continue to track higher,https://www.carbonnews.co.nz/story.asp?storyID=7283
2013-11-26,NZUs wax and wane,https://www.carbonnews.co.nz/story.asp?storyID=7288
2013-11-27,NZUs continue slow march forward,https://www.carbonnews.co.nz/story.asp?storyID=7290
2013-11-28,"NZUs trade higher, bid builds",https://www.carbonnews.co.nz/story.asp?storyID=7298
2013-11-29,NZUs hit $3.60 mark,https://www.carbonnews.co.nz/story.asp?storyID=7306
2013-12-02,NZUs hit $4.10 on speculation of ETS changes,https://www.carbonnews.co.nz/story.asp?storyID=7308
2013-12-03,Floor rumour denied  Govt set to make some changes,https://www.carbonnews.co.nz/story.asp?storyID=7309
2013-12-05,NZU market back a little,https://www.carbonnews.co.nz/story.asp?storyID=7312
2013-12-06,Govt to restrict ERUs?,https://www.carbonnews.co.nz/story.asp?storyID=7331
2013-12-09,A blinding glimpse of the obvious,https://www.carbonnews.co.nz/story.asp?storyID=7332
2013-12-10,Its all about 2015 and beyond,https://www.carbonnews.co.nz/story.asp?storyID=7333
2013-12-12,What the election could mean to ETS,https://www.carbonnews.co.nz/story.asp?storyID=7336
2013-12-13,NZUs down on the day,https://www.carbonnews.co.nz/story.asp?storyID=7346
2013-12-16,NZUs: Post 1989-exiters are back,https://www.carbonnews.co.nz/story.asp?storyID=7353
2013-12-17,NZUs mark time as holiday season nears,https://www.carbonnews.co.nz/story.asp?storyID=7354
2013-12-18,NZUs drift ... good offering in forward market,https://www.carbonnews.co.nz/story.asp?storyID=7355
2014-01-14,Last year for CERs and ERUs,https://www.carbonnews.co.nz/story.asp?storyID=7376
2014-01-15,Bidding interest in NZUs growing,https://www.carbonnews.co.nz/story.asp?storyID=7375
2014-01-16,Growth equals carbon demand,https://www.carbonnews.co.nz/story.asp?storyID=7377
2014-01-17,European prices make NZ carbon look cheap,https://www.carbonnews.co.nz/story.asp?storyID=7381
2014-01-20,NZUs touch $3.40,https://www.carbonnews.co.nz/story.asp?storyID=7382
2014-01-21,Hitch your wagon to NZUs and hold tight,https://www.carbonnews.co.nz/story.asp?storyID=7384
2014-01-22,Post-89 foresters switching credits,https://www.carbonnews.co.nz/story.asp?storyID=7386
2014-01-23,NZ market still quiet overall,https://www.carbonnews.co.nz/story.asp?storyID=7387
2014-01-28,Don't pay the government more than you have to,https://www.carbonnews.co.nz/story.asp?storyID=7404
2014-01-29,This year's post-89 units about to come to market,https://www.carbonnews.co.nz/story.asp?storyID=7406
2014-01-30,Forest owners are 'over' the ETS,https://www.carbonnews.co.nz/story.asp?storyID=7407
2014-01-31,If Europe can...,https://www.carbonnews.co.nz/story.asp?storyID=7418
2014-02-03,Expect market to consolidate,https://www.carbonnews.co.nz/story.asp?storyID=7421
2014-02-04,NZUs in a classic Mexican standoff,https://www.carbonnews.co.nz/story.asp?storyID=7427
2014-02-05,"Long-term, carbon is a buy",https://www.carbonnews.co.nz/story.asp?storyID=7429
2014-02-07,Prices firm in Europe,https://www.carbonnews.co.nz/story.asp?storyID=7441
2014-02-10,Market quiet for Waitangi holiday,https://www.carbonnews.co.nz/story.asp?storyID=7442
2014-02-11,NZU selling drying up,https://www.carbonnews.co.nz/story.asp?storyID=7443
2014-02-12,Market consolidates,https://www.carbonnews.co.nz/story.asp?storyID=7444
2014-02-13,"NZUs up, but thin on offer",https://www.carbonnews.co.nz/story.asp?storyID=7445
2014-02-14,Land-use change still attractive,https://www.carbonnews.co.nz/story.asp?storyID=7451
2014-02-17,Low NZU prices hard tojustifty,https://www.carbonnews.co.nz/story.asp?storyID=7459
2014-02-18,Market poised to move higher?,https://www.carbonnews.co.nz/story.asp?storyID=7460
2014-02-19,NZUs consolidating,https://www.carbonnews.co.nz/story.asp?storyID=7461
2014-02-20,Some selling of ERUs,https://www.carbonnews.co.nz/story.asp?storyID=7464
2014-02-21,NZUs trade up,https://www.carbonnews.co.nz/story.asp?storyID=7473
2014-02-24,NZUs languish while US and Europe climb,https://www.carbonnews.co.nz/story.asp?storyID=7478
2014-02-25,Market slowing as we head to surrender time,https://www.carbonnews.co.nz/story.asp?storyID=7479
2014-02-26,Looking at carbon options,https://www.carbonnews.co.nz/story.asp?storyID=7480
2014-02-27,Could world carbon prices rise 66% this year?,https://www.carbonnews.co.nz/story.asp?storyID=7481
2014-03-03,"NZUs might dip, but Europe firm",https://www.carbonnews.co.nz/story.asp?storyID=7504
2014-03-04,Carbon likely to rise under Labour or National,https://www.carbonnews.co.nz/story.asp?storyID=7505
2014-03-05,"NZUs down to $3, but European carbon about to soar",https://www.carbonnews.co.nz/story.asp?storyID=7506
2014-03-07,Stand-off sets in on the spot market,https://www.carbonnews.co.nz/story.asp?storyID=7523
2014-03-10,Spot NZUs attract good volumes,https://www.carbonnews.co.nz/story.asp?storyID=7527
2014-03-11,It's a buy,https://www.carbonnews.co.nz/story.asp?storyID=7528
2014-03-13,NZUs trade below $3,https://www.carbonnews.co.nz/story.asp?storyID=7531
2014-03-14,NZUs bounce off $2.90,https://www.carbonnews.co.nz/story.asp?storyID=7549
2014-03-18,Speculators back in the market,https://www.carbonnews.co.nz/story.asp?storyID=7551
2014-03-19,NZUs hold the $3 level,https://www.carbonnews.co.nz/story.asp?storyID=7552
2014-03-20,Prices consolidate in quiet market,https://www.carbonnews.co.nz/story.asp?storyID=7556
2014-03-21,NZUs trade good volume around $3.05,https://www.carbonnews.co.nz/story.asp?storyID=7576
2014-03-24,NZUs remain above $3,https://www.carbonnews.co.nz/story.asp?storyID=7582
2014-03-25,NZUs find support at $3,https://www.carbonnews.co.nz/story.asp?storyID=7583
2014-03-26,Spot NZUs still over $3,https://www.carbonnews.co.nz/story.asp?storyID=7584
2014-03-27,Buying interest in NZUs,https://www.carbonnews.co.nz/story.asp?storyID=7585
2014-03-28,Market remains quiet,https://www.carbonnews.co.nz/story.asp?storyID=7602
2014-03-31,NZUs are a buy,https://www.carbonnews.co.nz/story.asp?storyID=7603
2014-04-01,NZUs maintain $3.10 level,https://www.carbonnews.co.nz/story.asp?storyID=7605
2014-04-02,NZUs  The ebb continues,https://www.carbonnews.co.nz/story.asp?storyID=7606
2014-04-04,Groundhog Day or calm before storm?,https://www.carbonnews.co.nz/story.asp?storyID=7621
2014-04-09,NZUs trading a range,https://www.carbonnews.co.nz/story.asp?storyID=7622
2014-04-10,Market remains steady,https://www.carbonnews.co.nz/story.asp?storyID=7623
2014-04-11,NZUs edging up but quiet,https://www.carbonnews.co.nz/story.asp?storyID=7638
2014-04-16,NZUs ... the road ahead,https://www.carbonnews.co.nz/story.asp?storyID=7650
2014-04-23,NZUs continue to trade $3.00-$3.10,https://www.carbonnews.co.nz/story.asp?storyID=7654
2014-04-24,NZUs continue to trade $3.00-$3.10,https://www.carbonnews.co.nz/story.asp?storyID=7668
2014-04-28,NZUs good buying,https://www.carbonnews.co.nz/story.asp?storyID=7669
2014-04-29,NZUs stay in trading range,https://www.carbonnews.co.nz/story.asp?storyID=7670
2014-04-30,NZUs bump along at $3,https://www.carbonnews.co.nz/story.asp?storyID=7671
2014-05-01,NZUs home on the range,https://www.carbonnews.co.nz/story.asp?storyID=7672
2014-05-02,It's surrender month,https://www.carbonnews.co.nz/story.asp?storyID=7682
2014-05-05,NZUs tick up,https://www.carbonnews.co.nz/story.asp?storyID=7689
2014-05-07,NZUs still in the range,https://www.carbonnews.co.nz/story.asp?storyID=7691
2014-05-08,Pressure on prices,https://www.carbonnews.co.nz/story.asp?storyID=7692
2014-05-09,NZUs on an inexorable march,https://www.carbonnews.co.nz/story.asp?storyID=7710
2014-05-13,NZUs move to top of recent range,https://www.carbonnews.co.nz/story.asp?storyID=7714
2014-05-14,NZUs move into a new range,https://www.carbonnews.co.nz/story.asp?storyID=7715
2014-05-15,May $5 call trades at 45 cents,https://www.carbonnews.co.nz/story.asp?storyID=7716
2014-05-19,NZUs trade up on back of forestry announcement,https://www.carbonnews.co.nz/story.asp?storyID=7732
2014-05-20,NZUs top $4,https://www.carbonnews.co.nz/story.asp?storyID=7733
2014-05-21,NZUs close at $4.20,https://www.carbonnews.co.nz/story.asp?storyID=7734
2014-05-22,NZUs correct to $4.10,https://www.carbonnews.co.nz/story.asp?storyID=7735
2014-05-23,NZUs  there is little or no supply at current levels,https://www.carbonnews.co.nz/story.asp?storyID=7746
2014-05-26,NZUs close at $4.40 and look skyward,https://www.carbonnews.co.nz/story.asp?storyID=7747
2014-05-28,NZUs close at $4.65,https://www.carbonnews.co.nz/story.asp?storyID=7748
2014-05-29,Spot NZUs break $5 for first time in two years,https://www.carbonnews.co.nz/story.asp?storyID=7749
2014-05-30,NZUs remain above $5,https://www.carbonnews.co.nz/story.asp?storyID=7760
2014-06-03,NZUs look to consolidate,https://www.carbonnews.co.nz/story.asp?storyID=7766
2014-06-04,NZUs down 20 cents yesterday,https://www.carbonnews.co.nz/story.asp?storyID=7767
2014-06-05,Carbon closes on $4.85,https://www.carbonnews.co.nz/story.asp?storyID=7768
2014-06-06,We are going higher...,https://www.carbonnews.co.nz/story.asp?storyID=7787
2014-06-09,NZUs consolidate,https://www.carbonnews.co.nz/story.asp?storyID=7788
2014-06-11,NZUs - some selling appears,https://www.carbonnews.co.nz/story.asp?storyID=7789
