date,price,url
2014-02-03,3.25,https://www.carbonnews.co.nz/story.asp?storyID=7421
2014-02-04,3.2,https://www.carbonnews.co.nz/story.asp?storyID=7427
2014-02-05,3.29,https://www.carbonnews.co.nz/story.asp?storyID=7429
2014-02-10,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7442
2014-02-13,3.25,https://www.carbonnews.co.nz/story.asp?storyID=7445
2014-02-14,3.3,https://www.carbonnews.co.nz/story.asp?storyID=7451
2014-02-17,3.35,https://www.carbonnews.co.nz/story.asp?storyID=7459
2014-02-18,3.37,https://www.carbonnews.co.nz/story.asp?storyID=7460
2014-02-19,3.32,https://www.carbonnews.co.nz/story.asp?storyID=7461
2014-02-21,3.25,https://www.carbonnews.co.nz/story.asp?storyID=7473
2014-02-24,3.3,https://www.carbonnews.co.nz/story.asp?storyID=7478
2014-02-25,3.3,https://www.carbonnews.co.nz/story.asp?storyID=7479
2014-02-27,3.15,https://www.carbonnews.co.nz/story.asp?storyID=7481
2014-03-03,3.1,https://www.carbonnews.co.nz/story.asp?storyID=7504
2014-03-04,3.1,https://www.carbonnews.co.nz/story.asp?storyID=7505
2014-03-05,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7506
2014-03-07,3.1,https://www.carbonnews.co.nz/story.asp?storyID=7523
2014-03-10,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7527
2014-03-13,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7531
2014-03-14,2.9,https://www.carbonnews.co.nz/story.asp?storyID=7549
2014-03-18,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7551
2014-03-19,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7552
2014-03-20,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7556
2014-03-21,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7576
2014-03-24,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7582
2014-03-25,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7583
2014-03-26,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7584
2014-03-28,3.06,https://www.carbonnews.co.nz/story.asp?storyID=7602
2014-04-01,3.1,https://www.carbonnews.co.nz/story.asp?storyID=7605
2014-04-02,3.07,https://www.carbonnews.co.nz/story.asp?storyID=7606
2014-04-04,3.07,https://www.carbonnews.co.nz/story.asp?storyID=7621
2014-04-09,3.06,https://www.carbonnews.co.nz/story.asp?storyID=7622
2014-04-10,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7623
2014-04-11,3.07,https://www.carbonnews.co.nz/story.asp?storyID=7638
2014-04-24,2.95,https://www.carbonnews.co.nz/story.asp?storyID=7668
2014-04-28,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7669
2014-04-29,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7670
2014-04-30,3.0,https://www.carbonnews.co.nz/story.asp?storyID=7671
2014-05-01,3.02,https://www.carbonnews.co.nz/story.asp?storyID=7672
2014-05-02,3.02,https://www.carbonnews.co.nz/story.asp?storyID=7682
2014-05-05,3.05,https://www.carbonnews.co.nz/story.asp?storyID=7689
2014-05-09,3.11,https://www.carbonnews.co.nz/story.asp?storyID=7710
2014-05-13,3.11,https://www.carbonnews.co.nz/story.asp?storyID=7714
2014-05-14,3.16,https://www.carbonnews.co.nz/story.asp?storyID=7715
2014-05-15,5.0,https://www.carbonnews.co.nz/story.asp?storyID=7716
2014-05-19,3.14,https://www.carbonnews.co.nz/story.asp?storyID=7732
2014-05-20,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7733
2014-05-21,4.2,https://www.carbonnews.co.nz/story.asp?storyID=7734
2014-05-22,4.1,https://www.carbonnews.co.nz/story.asp?storyID=7735
2014-05-23,4.1,https://www.carbonnews.co.nz/story.asp?storyID=7746
2014-05-26,4.4,https://www.carbonnews.co.nz/story.asp?storyID=7747
2014-05-28,4.65,https://www.carbonnews.co.nz/story.asp?storyID=7748
2014-05-29,5.0,https://www.carbonnews.co.nz/story.asp?storyID=7749
2014-05-30,5.0,https://www.carbonnews.co.nz/story.asp?storyID=7760
2014-06-03,5.0,https://www.carbonnews.co.nz/story.asp?storyID=7766
2014-06-05,4.85,https://www.carbonnews.co.nz/story.asp?storyID=7768
2014-06-06,5.05,https://www.carbonnews.co.nz/story.asp?storyID=7787
2014-06-09,5.0,https://www.carbonnews.co.nz/story.asp?storyID=7788
2014-06-17,4.3,https://www.carbonnews.co.nz/story.asp?storyID=7811
2014-06-18,4.1,https://www.carbonnews.co.nz/story.asp?storyID=7812
2014-06-19,4.2,https://www.carbonnews.co.nz/story.asp?storyID=7813
2014-06-23,4.17,https://www.carbonnews.co.nz/story.asp?storyID=7829
2014-06-27,4.17,https://www.carbonnews.co.nz/story.asp?storyID=7848
2014-06-30,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7851
2014-07-02,4.17,https://www.carbonnews.co.nz/story.asp?storyID=7852
2014-07-03,4.17,https://www.carbonnews.co.nz/story.asp?storyID=7853
2014-07-04,4.17,https://www.carbonnews.co.nz/story.asp?storyID=7867
2014-07-10,4.15,https://www.carbonnews.co.nz/story.asp?storyID=7871
2014-07-14,4.1,https://www.carbonnews.co.nz/story.asp?storyID=7886
2014-07-15,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7888
2014-07-16,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7887
2014-07-18,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7903
2014-07-21,3.95,https://www.carbonnews.co.nz/story.asp?storyID=7904
2014-07-22,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7905
2014-07-23,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7906
2014-07-25,3.95,https://www.carbonnews.co.nz/story.asp?storyID=7922
2014-07-28,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7927
2014-07-29,4.0,https://www.carbonnews.co.nz/story.asp?storyID=7928
2014-07-30,3.97,https://www.carbonnews.co.nz/story.asp?storyID=7934
2014-07-31,3.9,https://www.carbonnews.co.nz/story.asp?storyID=7936
2014-08-01,3.9,https://www.carbonnews.co.nz/story.asp?storyID=7942
2014-08-01,3.9,https://www.carbonnews.co.nz/story.asp?storyID=7949
2014-08-04,3.9,https://www.carbonnews.co.nz/story.asp?storyID=7964
2014-08-05,3.95,https://www.carbonnews.co.nz/story.asp?storyID=7969
2014-08-06,3.95,https://www.carbonnews.co.nz/story.asp?storyID=7970
2014-08-14,3.85,https://www.carbonnews.co.nz/story.asp?storyID=7992
2014-08-15,3.85,https://www.carbonnews.co.nz/story.asp?storyID=7993
2014-08-18,3.82,https://www.carbonnews.co.nz/story.asp?storyID=8011
2014-08-19,3.82,https://www.carbonnews.co.nz/story.asp?storyID=8014
2014-08-21,3.8,https://www.carbonnews.co.nz/story.asp?storyID=8016
2014-08-22,3.8,https://www.carbonnews.co.nz/story.asp?storyID=8015
2014-08-25,3.8,https://www.carbonnews.co.nz/story.asp?storyID=8033
2014-08-27,3.9,https://www.carbonnews.co.nz/story.asp?storyID=8040
